d,price_usd,address_10k_1k
2022-06-30,19332.9121294565,2111
2022-07-01,19341.8631240795,2109
2022-07-02,19231.8317083577,2111
2022-07-03,19276.5146639392,2115
2022-07-04,20226.2984745763,2115
2022-07-05,20193.3427938048,2108
2022-07-06,20560.8438126826,2102
2022-07-07,21651.4191423144,2105
2022-07-08,21813.7871239042,2102
2022-07-09,21585.1321922852,2096
2022-07-10,20831.2733915839,2100
2022-07-11,19971.3294704851,2101
2022-07-12,19339.1534734074,2087
2022-07-13,20155.5278386908,2088
2022-07-14,20552.8990289304,2081
2022-07-15,20831.722700526,2077
2022-07-16,21196.5091428989,2070
2022-07-19,23371.2026601403,2060
2022-07-20,23280.9356680304,2059
2022-07-21,23152.4093112215,2053
2022-07-22,22706.0835554646,2053
2022-07-23,22484.4592317358,2053
2022-07-24,22653.3570260082,2054
2022-07-25,21510.1255874342,2053
2022-07-26,21181.6591967855,2051
2022-07-27,22898.4150683226,2047
2022-07-28,23838.5568838691,2049
2022-07-29,23950.7403798948,2050
2022-07-30,23623.4349611338,2047
2022-07-31,23356.1722215079,2042
2022-08-01,23331.4426969608,2043
2022-08-02,23031.4268834015,2041
2022-08-03,23324.0,2042
2022-08-04,22628.3320821157,2044
2022-08-05,23248.9715023378,2052
2022-08-06,22996.2750452952,2053
2022-08-07,23153.6584713618,2051
2022-08-08,23803.6505154296,2052
2022-08-09,23186.2917464641,2048
2022-08-10,23923.0584830508,2048
2022-08-11,23934.4390561075,2048
2022-08-12,24396.3088462887,2049
2022-08-13,24426.2225748101,2051
2022-08-14,24314.2021315021,2054
2022-08-15,24083.9539748685,2052
2022-08-16,23868.8193530099,2049
2022-08-17,23336.3489310345,2049
2022-08-18,23221.1706028638,2050
2022-08-19,20906.7663141438,2054
2022-08-20,21146.6548021625,2050
2022-08-21,21553.9961717125,2052
2022-08-22,21301.0840581531,2053
2022-08-23,21534.5143521333,2053
2022-08-24,21424.9728232028,2060
2022-08-25,21587.8395844535,2061
2022-08-26,20246.1655733489,2065
2022-08-27,20043.9909485681,2060
2022-08-28,19673.5412188778,2060
2022-08-29,20270.960383986,2062
2022-08-30,19825.4632066043,2065
2022-08-31,20024.6716059614,2057
2022-09-01,20105.4626072472,2054
2022-09-02,19948.8567472823,2047
2022-09-03,19803.8332697253,2049
2022-09-04,19961.9118907072,2048
2022-09-05,19797.7967884278,2052
2022-09-06,18846.150537405,2059
2022-09-07,19292.9070745178,2049
2022-09-08,19319.1248512566,2047
2022-09-09,21363.1894485681,2047
2022-09-10,21715.5972516072,2044
2022-09-11,21732.8643576856,2045
2022-09-12,22364.7235803624,2046
2022-09-13,20165.0421607247,2044
2022-09-14,20246.3660424313,2040
2022-09-15,19696.8698661601,2042
2022-09-16,19741.5776168907,2041
2022-09-17,20120.7023459965,2038
2022-09-18,19427.1002626534,2035
2022-09-19,19557.9769582116,2035
2022-09-20,18872.9498667446,2033
2022-09-21,18506.7607481005,2035
2022-09-22,19414.5396449445,2029
2022-09-23,19326.8648199883,2025
2022-09-24,18924.7677872589,2024
2022-09-25,18793.1561531268,2028
2022-09-26,19201.1317209234,2025
2022-09-27,19106.7389135009,2021
2022-09-28,19454.937210111,2025
2022-09-29,19540.8664105786,2027
2022-09-30,19435.1946917008,2025
2022-10-01,19311.861629398,2027
2022-10-02,19015.2928050847,2027
2022-10-03,19633.4325859147,2021
2022-10-04,20339.9712811221,2024
2022-10-05,20155.0996987142,2021
2022-10-06,19950.5477957335,2026
2022-10-07,19539.1439216832,2028
2022-10-08,19416.1772291058,2035
2022-10-09,19428.3671323787,2033
2022-10-10,19154.4042346581,2027
2022-10-11,19039.2820683811,2026
2022-10-12,19156.9115645821,2026
2022-10-13,19387.8336806546,2023
2022-10-14,19177.6941031561,2025
2022-10-15,19069.8749272355,2022
2022-10-16,19261.7497878434,2024
2022-10-17,19557.0218106371,2025
2022-10-18,19341.4075543542,2035
2022-10-19,19132.1544254822,2036
2022-10-20,19033.3760239626,2034
2022-10-21,19174.8763487434,2034
2022-10-22,19207.6285078901,2029
2022-10-23,19565.4123243717,2031
2022-10-24,19341.460210111,2028
2022-10-25,20094.9611215663,2029
2022-10-26,20797.0308258328,2029
2022-10-27,20280.1751280538,2036
2022-10-28,20604.6138535944,2030
2022-10-29,20803.8999205143,2029
2022-10-30,20616.7033766803,2029
2022-10-31,20490.8581808884,2027
2022-11-01,20483.966530976,2027
2022-11-02,20148.2845537697,2025
2022-11-03,20198.1111860316,2018
2022-11-04,21157.2449275278,2000
2022-11-05,21283.4715999416,1999
2022-11-06,20946.8030359439,2000
2022-11-07,20568.5651183518,1995
2022-11-08,18520.971163647,1999
2022-11-09,15758.2912819988,1999
2022-11-10,17541.5602866745,1996
2022-11-11,16916.8506312098,1993
2022-11-12,16771.2426718293,1986
2022-11-13,16320.4983375219,1985
2022-11-14,16629.4784146698,1987
2022-11-15,16855.59378609,1983
2022-11-16,16659.6063345996,1980
2022-11-17,16675.1790204559,1973
2022-11-18,16661.5229576271,1980
2022-11-19,16696.0040581531,1976
2022-11-20,16246.8446992987,1976
2022-11-21,15778.0174047341,1974
2022-11-22,16172.8893445354,1967
2022-11-23,16574.0617299825,1981
2022-11-24,16583.5243445354,1983
2022-11-25,16522.3887767388,1983
2022-11-26,16448.6413077148,1980
2022-11-27,16436.0707688486,1974
2022-11-28,16212.5814161309,1968
2022-11-29,16443.0368199883,1970
2022-11-30,17176.8986914085,1964
2022-12-01,16961.2918042081,1964
2022-12-02,17075.1091370544,1956
2022-12-03,16899.5073831093,1955
2022-12-04,17121.7149824664,1958
2022-12-05,16961.3517866745,1936
2022-12-06,17070.5158281707,1928
2022-12-07,16848.2518243717,1926
2022-12-08,17231.4563223261,1924
2022-12-09,17136.1490008767,1928
2022-12-10,17124.2146797195,1929
2022-12-11,17094.3606592636,1927
2022-12-12,17195.5249962011,1926
2022-12-13,17774.9166320865,1932
2022-12-14,17809.7240835769,1931
2022-12-15,17344.0544569258,1937
2022-12-16,16606.1101750438,1936
2022-12-17,16774.3853702513,1933
2022-12-18,16776.1159254822,1934
2022-12-19,16424.1313857393,1932
2022-12-20,16901.8169362946,1932
2022-12-21,16800.5329707773,1939
2022-12-22,16814.2225791935,1935
2022-12-23,16780.5169798363,1933
2022-12-24,16837.612170076,1929
2022-12-25,16824.8389736996,1929
2022-12-26,16879.9382273524,1930
2022-12-27,16698.9112708942,1929
2022-12-28,16536.2942001753,1931
2022-12-29,16630.5931551724,1929
2022-12-30,16593.6888287551,1929
2022-12-31,16524.2178024547,1925
2023-01-01,16606.7520432496,1924
2023-01-02,16688.7192729398,1922
2023-01-03,16670.0773836937,1923
2023-01-04,16848.3660391584,1922
2023-01-05,16824.8001826417,1927
2023-01-06,16957.8622738165,1928
2023-01-08,17059.2399444769,1931
2023-01-09,17182.3198521333,1928
2023-01-10,17433.9146320865,1932
2023-01-11,17833.7107656341,1930
2023-01-12,18869.7044842198,1932
2023-01-13,19868.7247454705,1925
2023-01-14,21010.9227200468,1928
2023-01-15,20876.0085561075,1930
2023-01-16,21180.4119485681,1935
2023-01-17,21178.2993962595,1936
2023-01-18,20709.6686040327,1937
2023-01-19,21071.8334152542,1936
2023-01-20,22660.7169421391,1932
2023-01-21,22803.172761543,1932
2023-01-22,22716.2771966686,1934
2023-01-23,22929.0248936295,1937
2023-01-24,22611.1268787259,1936
2023-01-25,23109.0845189947,1943
2023-01-26,23008.6894766219,1940
2023-01-27,23070.4964582116,1940
2023-01-28,23008.8094649328,1922
2023-01-29,23774.9963679135,1925
2023-01-30,22799.427261543,1921
2023-01-31,23130.0519132087,1921
2023-02-01,23727.2026075395,1919
2023-02-02,23505.6048430742,1921
2023-02-03,23445.8131773816,1920
2023-02-04,23355.5243863238,1924
2023-02-05,22957.2251905319,1923
2023-02-06,22745.1650371128,1921
2023-02-07,23266.2692036821,1923
2023-02-08,22937.5799453536,1920
2023-02-09,21818.1989456458,1925
2023-02-10,21620.5667837522,1923
2023-02-11,21864.8626414378,1923
2023-02-12,21772.1373252484,1924
2023-02-13,21798.7157168323,1925
2023-02-14,22222.415043834,1927
2023-02-15,24304.6129827586,1924
2023-02-16,23742.4488354763,1921
2023-02-17,24607.3356054939,1919
2023-02-18,24636.5266127995,1922
2023-02-19,24366.9907606663,1920
2023-02-20,24797.8430359439,1917
2023-02-21,24400.3893898305,1920
2023-02-22,24163.7389812975,1914
2023-02-23,23910.0342104033,1914
2023-02-24,23175.8242036821,1918
2023-02-25,23159.8154403857,1913
2023-02-26,23542.0964281122,1920
2023-02-27,23504.1894178843,1916
2023-02-28,23145.9491277031,1896
2023-03-01,23610.6590902981,1899
2023-03-02,23470.0254815897,1897
2023-03-03,22350.0962340736,1893
2023-03-04,22334.2852638808,1893
2023-03-05,22419.8171390999,1893
2023-03-06,22414.7033056692,1893
2023-03-07,22174.6484725307,1900
2023-03-08,21701.3846227352,1904
2023-03-09,20349.8141732905,1899
2023-03-17,27450.6282933957,1908
2023-03-18,26985.7359915254,1910
2023-03-19,28185.2043319696,1912
2023-03-20,27834.3361090006,1914
2023-03-21,28172.7950558153,1909
2023-03-22,27341.5571297487,1910
2023-03-23,28387.8897495617,1913
2023-03-24,27464.1249453536,1904
2023-03-27,27154.9963702513,1906
2023-03-28,27283.9634029807,1907
2023-03-29,28389.2917784921,1907
2023-03-30,28021.5583009936,1907
2023-03-31,28514.6813062537,1905
2023-04-01,28494.5638863238,1905
2023-04-02,28161.9980362361,1905
2023-04-03,27850.9799436002,1906
2023-04-04,28113.9585187025,1907
2023-04-05,28190.3116063705,1903
2023-04-06,28049.0744763296,1908
2023-04-07,27936.8042609585,1903
2023-04-08,27964.0512498539,1902
2023-04-09,28357.8072703098,1902
2023-04-10,29687.5651846873,1906
2023-04-11,30247.0959193454,1899
2023-04-12,29913.0035463472,1901
2023-04-13,30370.82207218,1908
2023-04-14,30458.9700414962,1911
2023-04-15,30342.0591084161,1911
2023-04-16,30312.9308533022,1910
2023-04-17,29469.5050727645,1906
2023-04-18,30366.8723813559,1913
2023-04-19,28796.7440952659,1911
2023-04-20,28251.2763790181,1906
2023-04-21,27292.0211052016,1908
2023-04-22,27827.5475920514,1905
