d,price_usd,rhodl_1m
2013-03-08,43.902928915,1898.5519
2013-03-09,46.8885866123,1971.7194333333332
2013-03-10,46.066038459,2050.454166666667
2013-03-11,48.2750745772,2175.2074666666667
2013-03-12,44.4135452582,2299.356866666667
2013-03-13,47.0161908516,2431.2968000000005
2013-03-14,46.9255625535,2567.8864333333336
2013-03-15,46.9025172478,2708.956466666667
2013-03-16,47.1570156996,2849.2756999999997
2013-03-17,47.3334997838,2993.1887333333334
2013-03-18,51.3654363913,3144.9374666666668
2013-03-19,59.4986011114,3303.476333333333
2013-03-20,63.6874854982,3481.7449333333334
2013-03-21,70.9175250053,3717.4252666666666
2013-03-22,69.8460845418,3954.1092
2013-03-23,64.3831163705,4209.497433333334
2013-03-24,71.6904242065,4476.8840666666665
2013-03-25,74.3140892496,4725.200733333333
2013-03-26,78.614197432,4970.603233333332
2013-03-27,88.8520799138,5220.546933333333
2013-03-28,87.6731739608,5469.937466666666
2013-03-29,90.2956993583,5736.051333333333
2013-03-30,92.1899599883,5998.366366666666
2013-03-31,93.8992384231,6328.322433333334
2013-04-01,103.5803469112,6686.1918000000005
2013-04-02,116.6799442412,7131.031333333333
2013-04-03,131.3848093782,7600.5373666666665
2013-04-04,133.0071204757,8143.433766666667
2013-04-05,142.626065488,8671.7756
2013-04-06,143.0818229649,9230.569
2013-04-07,162.8522145769,9866.2594
2013-04-08,186.351161848,10696.084233333333
2013-04-09,230.6829966952,11788.9408
2013-04-10,161.192889661,12849.1372
2013-04-11,82.901585038,13792.6692
2013-04-12,111.476373194,14735.859866666666
2013-04-13,97.6090718703,15674.621333333334
2013-04-14,88.8614913998,16542.111933333334
2013-04-15,80.874693166,17271.030733333333
2013-04-16,68.2831387271,17821.907633333336
2013-04-17,92.8640369135,18290.871900000002
2013-04-18,108.6283450923,18646.695266666666
2013-04-19,119.012283239,18970.726233333335
2013-04-20,128.208288893,19241.74036666667
2013-04-21,118.4832437563,19493.845533333333
2013-04-22,126.3142717598,19719.848866666667
2013-04-23,142.1272180532,19973.342233333333
2013-04-24,154.1332778045,20340.2627
2013-04-25,141.0086592785,20687.418866666667
2013-04-26,137.2096004196,21050.16903333333
2013-04-27,128.2266696052,21397.402
2013-04-28,134.6235695617,21758.756266666667
2013-04-29,143.8103781926,22107.021166666662
2013-04-30,139.1296475453,22335.911933333333
2013-05-01,116.1138010403,22494.358
2013-05-02,106.3409846973,22526.453066666665
2013-05-03,96.3168402741,22502.601166666667
2013-05-04,112.4976363691,22400.805933333333
2013-05-05,116.488715827,22282.50366666667
2013-05-06,112.1185961952,22119.085533333335
2013-05-07,111.6092128735,21803.27583333333
2013-05-08,113.1360618548,21261.755866666666
2013-05-09,111.9745327107,20452.48263333333
2013-05-10,117.6910368837,19660.39213333333
2013-05-11,115.4997776628,18972.381866666667
2013-05-12,114.8856755596,18254.260233333334
2013-05-13,117.4044566461,17555.019766666668
2013-05-14,107.8655665693,16930.670166666667
2013-05-15,108.9868524255,16445.6585
2013-05-16,112.9178740503,16110.800133333334
2013-05-17,117.284616014,15824.992633333335
2013-05-18,118.1698766803,15637.951266666667
2013-05-19,117.033880187,15467.114900000002
2013-05-20,117.8186364699,15273.211866666667
2013-05-21,117.2520409117,15064.523833333333
2013-05-22,118.9781735827,14856.671699999999
2013-05-23,123.7261560491,14600.389233333333
2013-05-24,128.9710806546,14263.604633333332
2013-05-25,128.8449152542,13932.337133333333
2013-05-26,130.1586011105,13577.561
2013-05-27,126.392905903,13230.536433333335
2013-05-28,125.9045952659,12852.3893
2013-05-29,129.5648123904,12492.409533333333
2013-05-30,126.5130683811,12178.974066666666
2013-05-31,127.8164888954,11872.597766666666
2013-06-01,128.7911510812,11638.166966666668
2013-06-02,122.6267089421,11433.212966666668
2013-06-03,122.9491879018,11217.634533333334
2013-06-04,120.1899687317,11021.799766666667
2013-06-05,120.8699238457,10850.251566666666
2013-06-06,119.0539756698,10768.066499999999
2013-06-07,110.1977314436,10711.708
2013-06-08,109.1785453413,10651.172700000001
2013-06-09,99.9036034483,10537.0345
2013-06-10,104.3575666277,10442.9927
2013-06-11,107.5075204559,10365.652266666668
2013-06-12,106.3781163063,10227.855066666667
2013-06-13,101.3238977206,10078.315066666666
2013-06-14,99.2132443016,9930.841900000001
2013-06-15,99.875037405,9788.126866666666
2013-06-16,99.0383512566,9661.439933333333
2013-06-17,100.1263050847,9558.782966666668
2013-06-18,104.2891763822,9440.7993
2013-06-19,104.417150789,9340.081466666667
2013-06-20,104.3234997078,9271.716666666667
2013-06-21,101.4168573933,9210.531433333334
2013-06-22,100.0395084746,9146.3558
2013-06-23,100.3147445938,9063.3603
