d,price_usd,mvrv_zscore
2012-03-09,4.8722978475,-0.019464
2012-03-10,4.8414238048,-0.02613
2012-03-11,4.8920287516,-0.013
2012-03-12,4.9108393793,-0.008073
2012-03-13,5.2908802788,0.085417
2012-03-14,5.3905432922,0.108551
2012-03-15,5.3408208989,0.095042
2012-03-16,5.3395747914,0.093481
2012-03-17,5.2360035541,0.068369
2012-03-18,5.2701489854,0.077192
2012-03-19,4.6786725529,-0.069435
2012-03-20,4.8308302162,-0.030315
2012-03-21,4.8172295248,-0.031072
2012-03-22,4.729608505,-0.051812
2012-03-23,4.6916431765,-0.061457
2012-03-24,4.6519862659,-0.070016
2012-03-25,4.5522702624,-0.094113
2012-03-26,4.6327223597,-0.072896
2012-03-27,4.8113407352,-0.027276
2012-03-28,4.7905893916,-0.032638
2012-03-29,4.7940665722,-0.030989
2012-03-30,4.8614093565,0.00475
2012-03-31,4.8897768732,0.011838
2012-04-01,4.7933256774,-0.012728
2012-04-02,4.9830454787,0.035777
2012-04-03,4.9562331929,0.032744
2012-04-04,4.9178421777,0.022793
2012-04-05,4.9208492449,0.023282
2012-04-06,4.9491074322,0.029971
2012-04-07,4.7097119103,-0.03158
2012-04-08,4.7788188492,-0.01345
2012-04-09,4.8525473811,0.00462
2012-04-10,4.8414175938,0.002022
2012-04-11,4.9152507171,0.020811
2012-04-12,4.9011581473,0.016301
2012-04-13,4.9344067335,0.024588
2012-04-14,4.956364661,0.029982
2012-04-15,4.9616003384,0.030646
2012-04-16,4.9507645693,0.027228
2012-04-17,4.9687445076,0.031749
2012-04-18,5.124377443,0.071647
2012-04-19,5.1309065114,0.07254
2012-04-20,5.3665159681,0.132476
2012-04-21,5.282550339,0.110171
2012-04-22,5.1956089947,0.086186
2012-04-23,5.1108881917,0.065346
2012-04-24,5.0878672624,0.059266
2012-04-25,5.1488162455,0.068953
2012-04-26,5.0974192858,0.05707
2012-04-27,5.0958873399,0.056721
2012-04-28,4.9707366528,0.023935
2012-04-29,4.9026061777,0.0087
2012-04-30,4.9421168101,0.020299
2012-05-01,4.9871372274,0.032427
2012-05-02,5.0534373539,0.050191
2012-05-03,5.118872979,0.06749
2012-05-04,5.0855070883,0.058507
2012-05-05,5.0566395646,0.050746
2012-05-06,5.0478007729,0.05162
2012-05-07,5.067555867,0.057067
2012-05-08,5.0234664229,0.045514
2012-05-09,5.0413062355,0.050239
2012-05-10,4.9274887198,0.019671
2012-05-11,4.9637099775,0.030251
2012-05-12,4.946532235,0.022026
