d,price_usd,realized_price
2012-01-04,5.5857062671,4.9382
2012-01-05,6.8740008773,4.9984
2012-01-06,6.68331664,5.0254
2012-01-07,6.7962279807,5.0408
2012-01-08,7.0966505663,5.0622
2012-01-09,6.2885383425,5.0772
2012-01-10,6.5284745552,5.0794
2012-01-11,6.8891277212,5.0956
2012-01-12,6.7735641958,5.1225
2012-01-13,6.4543688901,5.1291
2012-01-14,6.7617271426,5.1414
2012-01-15,7.0469225582,5.1494
2012-01-16,6.7156076666,5.1574
2012-01-17,5.5996219503,5.1448
2012-01-18,5.9002312881,5.1427
2012-01-19,6.3157063416,5.1599
2012-01-20,6.5014919883,5.1647
2012-01-21,6.1805683255,5.1656
2012-01-22,6.3029672268,5.1681
2012-01-23,6.3748760771,5.1726
2012-01-24,6.2744764757,5.1757
2012-01-25,5.8104650725,5.1709
2012-01-26,5.3672269544,5.1562
2012-01-27,5.303137197,5.1473
2012-01-28,5.659796775,5.1472
2012-01-29,5.3914294573,5.1415
2012-01-30,5.5034819386,5.1392
2012-01-31,5.5382202957,5.1338
2012-02-01,6.0752326523,5.1447
2012-02-02,6.0995729129,5.1492
2012-02-03,5.9516109275,5.1502
2012-02-04,5.895413239,5.1504
2012-02-05,5.6781157171,5.1484
2012-02-06,5.4826640584,5.139
2012-02-07,5.6620277002,5.1391
2012-02-08,5.6185281899,5.138
2012-02-09,5.8356998542,5.1398
2012-02-10,5.9378341555,5.1387
2012-02-11,5.6121328533,5.1481
2012-02-12,5.5190971695,5.1469
2012-02-13,5.3483545593,5.1023
2012-02-14,4.4836540918,5.0589
2012-02-15,4.325520322,5.0366
2012-02-16,4.255239045,5.022
2012-02-17,4.3915383729,5.0161
2012-02-18,4.2700812776,4.999
2012-02-19,4.3895514582,4.994
2012-02-20,4.3651359389,4.9894
2012-02-21,4.315115602,4.9831
2012-02-22,4.4193102876,4.9783
2012-02-23,5.0395151181,4.9881
2012-02-24,5.0256087589,4.9909
2012-02-25,4.7725673811,4.9909
2012-02-26,4.9264208515,4.9907
2012-02-27,4.9525157563,4.9921
2012-02-28,4.8572577756,4.9932
2012-02-29,4.8727487557,4.9568
2012-03-01,4.9220721236,4.9584
2012-03-02,4.7148235871,4.9487
2012-03-03,4.6281932525,4.9462
2012-03-04,4.8341444816,4.9476
2012-03-05,4.9823929039,4.9499
2012-03-06,4.9878413524,4.9517
2012-03-07,4.9491128846,4.9529
2012-03-08,4.934979495,4.9516
2012-03-09,4.8722978475,4.9504
2012-03-10,4.8414238048,4.9461
2012-03-11,4.8920287516,4.944
2012-03-12,4.9108393793,4.9431
2012-03-13,5.2908802788,4.9502
2012-03-14,5.3905432922,4.9582
2012-03-15,5.3408208989,4.9628
2012-03-16,5.3395747914,4.9683
2012-03-17,5.2360035541,4.9649
2012-03-18,5.2701489854,4.9646
2012-03-19,4.6786725529,4.9531
2012-03-20,4.8308302162,4.9504
2012-03-21,4.8172295248,4.9396
2012-03-22,4.729608505,4.9334
2012-03-23,4.6916431765,4.933
2012-03-24,4.6519862659,4.9265
2012-03-25,4.5522702624,4.9206
2012-03-26,4.6327223597,4.9176
2012-03-27,4.8113407352,4.9177
2012-03-28,4.7905893916,4.9177
2012-03-29,4.7940665722,4.9146
2012-03-30,4.8614093565,4.843
2012-03-31,4.8897768732,4.8439
2012-04-01,4.7933256774,4.8426
2012-04-02,4.9830454787,4.8447
2012-04-03,4.9562331929,4.8298
2012-04-04,4.9178421777,4.83
2012-04-05,4.9208492449,4.8312
2012-04-06,4.9491074322,4.8339
2012-04-07,4.7097119103,4.8309
2012-04-08,4.7788188492,4.8304
2012-04-09,4.8525473811,4.8349
2012-04-10,4.8414175938,4.8337
2012-04-11,4.9152507171,4.8359
2012-04-12,4.9011581473,4.8391
2012-04-13,4.9344067335,4.8409
2012-04-14,4.956364661,4.8425
2012-04-15,4.9616003384,4.8453
2012-04-16,4.9507645693,4.8476
2012-04-17,4.9687445076,4.8486
2012-04-18,5.124377443,4.8537
2012-04-19,5.1309065114,4.8572
2012-04-20,5.3665159681,4.8674
2012-04-21,5.282550339,4.8681
2012-04-22,5.1956089947,4.8718
2012-04-23,5.1108881917,4.8657
2012-04-24,5.0878672624,4.8658
2012-04-25,5.1488162455,4.8908
2012-04-26,5.0974192858,4.8842
2012-04-27,5.0958873399,4.8843
2012-04-28,4.9707366528,4.8816
2012-04-29,4.9026061777,4.8703
2012-04-30,4.9421168101,4.8667
2012-05-01,4.9871372274,4.8669
2012-05-02,5.0534373539,4.8676
2012-05-03,5.118872979,4.8694
2012-05-04,5.0855070883,4.8696
2012-05-05,5.0566395646,4.8696
2012-05-06,5.0478007729,4.8579
2012-05-07,5.067555867,4.8579
2012-05-08,5.0234664229,4.8565
2012-05-09,5.0413062355,4.8573
2012-05-10,4.9274887198,4.8555
2012-05-11,4.9637099775,4.8532
2012-05-12,4.946532235,4.8662
2012-05-13,4.9447950538,4.861
2012-05-14,5.011435922,4.8592
