,the_date,mvrv_zscore,price_usd
398,2011-11-03,-0.49389,3.1683163852
399,2011-11-04,-0.503164,3.1201181718
400,2011-11-05,-0.531658,2.9778175979
401,2011-11-06,-0.534962,2.9627205769
402,2011-11-07,-0.523962,3.0177576873
403,2011-11-08,-0.515116,3.056567111
404,2011-11-09,-0.50921,2.9195672238
405,2011-11-10,-0.52198,2.8567020853
406,2011-11-11,-0.478621,3.0678617335
407,2011-11-12,-0.487702,3.0255229959
408,2011-11-13,-0.495899,2.9863733033
409,2011-11-14,-0.649665,2.2242244643
410,2011-11-15,-0.629324,2.3223841157
411,2011-11-16,-0.515804,2.5467809307
412,2011-11-17,-0.566026,2.2790958358
413,2011-11-18,-0.592558,2.1050660032
414,2011-11-19,-0.573273,2.2034567218
415,2011-11-20,-0.572781,2.2019895096
416,2011-11-21,-0.557369,2.2798791654
417,2011-11-22,-0.548425,2.3224585961
418,2011-11-23,-0.546552,2.3303235675
419,2011-11-24,-0.525865,2.4388790003
420,2011-11-25,-0.514573,2.4961610029
421,2011-11-26,-0.515928,2.471799969
422,2011-11-27,-0.514928,2.4775649512
423,2011-11-28,-0.49106,2.5412402522
424,2011-11-29,-0.449496,2.7576984828
425,2011-11-30,-0.409635,2.9660415459
426,2011-12-01,-0.386897,3.08258945
427,2011-12-02,-0.383705,3.1004023331
428,2011-12-03,-0.442318,2.8038561853
429,2011-12-04,-0.439516,2.819693976
430,2011-12-05,-0.427975,2.8747962274
431,2011-12-06,-0.397921,3.0253604515
432,2011-12-07,-0.400759,2.9855024211
433,2011-12-08,-0.400208,2.9918804831
434,2011-12-09,-0.407833,2.9557919521
435,2011-12-10,-0.38442,3.0689752671
436,2011-12-11,-0.348191,3.2492688472
437,2011-12-12,-0.362289,3.1873353565
438,2011-12-13,-0.351181,3.2410884085
439,2011-12-14,-0.368537,3.1550865044
440,2011-12-15,-0.358716,3.2031385406
441,2011-12-16,-0.357925,3.2091377773
442,2011-12-17,-0.361704,3.1925417043
443,2011-12-18,-0.361573,3.1940108089
444,2011-12-19,-0.291482,3.5257739193
445,2011-12-20,-0.202006,3.9525508273
446,2011-12-21,-0.217261,3.8889932507
447,2011-12-22,-0.215532,3.9030604205
448,2011-12-23,-0.209087,3.937965076
449,2011-12-24,-0.208846,3.9394191186
450,2011-12-25,-0.143968,4.2338668778
451,2011-12-26,-0.196608,3.9991219641
452,2011-12-27,-0.176171,4.0955185459
453,2011-12-28,-0.152523,4.2072958761
454,2011-12-29,-0.160428,4.1733522268
455,2011-12-30,-0.130938,4.31063509
456,2011-12-31,-0.042735,4.7143063314
457,2012-01-01,0.084167,5.2948427773
458,2012-01-02,0.065498,5.2048778919
459,2012-01-03,-0.010355,4.8705088288
460,2012-01-04,0.146054,5.5857062671
461,2012-01-05,0.423608,6.8740008773
462,2012-01-06,0.374995,6.68331664
