d,price_usd,sth_realized_price
2016-02-21,438.7186126815,386.78256080493657
2016-02-22,437.5352950941,387.75491942300147
2016-02-23,420.0325926096,388.5755033205724
2016-02-24,423.9951125073,389.28778764107824
2016-02-25,424.0908702513,389.9167516138301
2016-02-26,431.7622419638,390.8578219904802
2016-02-27,432.9478459965,391.5977490765039
2016-02-28,433.1022627119,392.5269702347309
2016-02-29,437.7758725891,394.156721208013
2016-03-01,432.8078671537,395.37783319978104
2016-03-02,423.0797893922,395.1314945670303
2016-03-03,419.2688213326,395.7874167992408
2016-03-04,407.9901542957,395.05354518367676
2016-03-05,397.3144539451,394.01684423131854
2016-03-06,403.7051874635,394.2261992872414
2016-03-07,413.2293661601,394.97657104602695
2016-03-08,411.4259532437,395.31359604043644
2016-03-09,412.5407035067,395.93180830478957
2016-03-10,416.3409286967,396.6918152441923
2016-03-11,419.511934249,397.2785683902432
2016-03-12,410.2641632963,397.04601702849874
2016-03-13,411.8058824664,397.2299294168096
2016-03-14,415.0269572764,397.6337982754618
2016-03-15,415.2664002922,398.06188543281183
2016-03-16,417.0241184687,398.4729408163546
2016-03-17,418.6053638223,398.9312420840932
2016-03-18,408.901587405,398.69127781825824
2016-03-19,409.1244298656,398.71564973793727
2016-03-20,412.0569538282,399.090849926477
2016-03-21,411.6017740503,399.4629895956994
2016-03-22,416.5816538282,400.4230491848623
2016-03-23,417.3782995324,400.74095713898146
2016-03-24,413.5602399182,400.90742981000176
2016-03-25,416.373243834,401.38760449873587
2016-03-26,416.8230966686,401.77953633628454
2016-03-27,425.454959848,402.8348456193398
2016-03-28,422.9174468147,403.4446010394476
2016-03-29,415.8638287551,403.5469287035057
2016-03-30,412.7776977791,403.61099696494654
2016-03-31,415.9568112215,404.3124879172799
2016-04-01,417.2006602572,404.5438559054051
2016-04-02,419.763056692,404.8067558536043
2016-04-03,420.0735789012,405.3556208969785
2016-04-04,419.5407278784,405.8637851501086
2016-04-05,422.5013644068,406.3214844598672
2016-04-06,421.9071912332,406.9111992570915
2016-04-07,421.4672200468,407.71099870773844
2016-04-08,418.6434605494,407.84422423493237
2016-04-09,418.7586353594,408.187697284686
2016-04-10,421.9544885447,408.47621390115904
2016-04-11,423.2730440094,408.6663054114868
