d,price_usd,realized_cap
2011-09-28,4.7634153214,44060803.52
2011-09-29,4.7776609784,44068559.9249
2011-09-30,5.14368591,44106905.763
2011-10-01,5.0340705447,44071022.4689
2011-10-02,5.0070625967,44041347.2114
2011-10-03,5.0228448603,44039021.2289
2011-10-04,4.9568056207,44035888.1954
2011-10-05,4.8850671309,44034590.5107
2011-10-06,4.7301662957,44033833.0472
2011-10-07,4.2760357569,43945666.4976
2011-10-08,3.9812529942,43914128.2071
2011-10-09,4.1116346435,43874695.0491
2011-10-10,4.0749624839,43825618.5781
2011-10-11,4.0089244959,43761137.13
2011-10-12,4.1662353425,43711203.3253
2011-10-13,4.03698109,43694675.5441
2011-10-14,3.9862808854,43655072.4585
2011-10-15,3.8373385605,43644706.983
2011-10-16,3.6097417165,43622266.0449
2011-10-17,2.5812467218,43328223.6383
2011-10-18,2.4222747382,43207695.2623
2011-10-19,2.217254713,42972477.6588
2011-10-20,2.3561235085,42929005.2476
2011-10-21,2.5700923051,42923579.7188
2011-10-22,3.1554861385,42891022.238
2011-10-23,3.1477509299,42889844.7324
2011-10-24,2.5229359977,42827000.811
2011-10-25,2.8019238311,42826714.8643
2011-10-26,2.777505239,42689858.6642
2011-10-27,3.0454078276,42710772.4302
2011-10-28,3.1796394366,42742646.0005
2011-10-29,3.5691889687,42763497.8255
2011-10-30,3.257403723,42770727.2545
2011-10-31,3.2650982127,42769616.0417
2011-11-01,3.1710077428,42763716.5029
2011-11-02,3.2558005666,42697926.2746
2011-11-03,3.1683163852,42703489.3355
2011-11-04,3.1201181718,42691263.7689
2011-11-05,2.9778175979,42687131.9705
2011-11-06,2.9627205769,42697354.8884
2011-11-07,3.0177576873,42701195.8501
2011-11-08,3.056567111,42666536.9745
2011-11-09,2.9195672238,41403939.6212
2011-11-10,2.8567020853,41403878.6175
2011-11-11,3.0678617335,41389772.3777
2011-11-12,3.0255229959,41409350.9445
2011-11-13,2.9863733033,41419193.193
2011-11-14,2.2242244643,41325913.0894
2011-11-15,2.3223841157,41314669.9178
2011-11-16,2.5467809307,38797095.622
2011-11-17,2.2790958358,38609546.0985
2011-11-18,2.1050660032,38253374.7172
2011-11-19,2.2034567218,38285833.8887
2011-11-20,2.2019895096,38251755.6151
2011-11-21,2.2798791654,38273178.4112
2011-11-22,2.3224585961,38266391.648
2011-11-23,2.3303235675,38253839.2729
2011-11-24,2.4388790003,38321269.2115
2011-11-25,2.4961610029,38344691.0975
2011-11-26,2.471799969,38202651.4693
2011-11-27,2.4775649512,38206115.1581
2011-11-28,2.5412402522,37817489.3806
2011-11-29,2.7576984828,37967163.4434
2011-11-30,2.9660415459,38125894.2057
2011-12-01,3.08258945,38209083.3953
2011-12-02,3.1004023331,38239020.2208
2011-12-03,2.8038561853,38086901.1493
2011-12-04,2.819693976,38110994.0521
2011-12-05,2.8747962274,38125431.0501
2011-12-06,3.0253604515,38212726.336
2011-12-07,2.9855024211,38011103.2367
2011-12-08,2.9918804831,38051137.9432
2011-12-09,2.9557919521,38053928.7922
2011-12-10,3.0689752671,38096125.4223
2011-12-11,3.2492688472,38203695.2201
2011-12-12,3.1873353565,38237579.0859
2011-12-13,3.2410884085,38265289.8667
2011-12-14,3.1550865044,38230061.6514
2011-12-15,3.2031385406,38257506.797
2011-12-16,3.2091377773,38282490.2258
2011-12-17,3.1925417043,38299727.9348
2011-12-18,3.1940108089,38316981.1704
2011-12-19,3.5257739193,38423182.5086
2011-12-20,3.9525508273,38587811.9016
2011-12-21,3.8889932507,38656535.2433
2011-12-22,3.9030604205,38727241.943
2011-12-23,3.937965076,38792917.1202
2011-12-24,3.9394191186,38817296.8714
2011-12-25,4.2338668778,38857460.6557
2011-12-26,3.9991219641,38909043.082
2011-12-27,4.0955185459,38967419.9621
2011-12-28,4.2072958761,39038490.8617
2011-12-29,4.1733522268,39074292.1433
2011-12-30,4.31063509,39141962.544
2011-12-31,4.7143063314,39250113.0844
2012-01-01,5.2948427773,39405437.3501
2012-01-02,5.2048778919,39392309.5342
2012-01-03,4.8705088288,39455334.4585
2012-01-04,5.5857062671,39666378.9903
2012-01-05,6.8740008773,40186384.7479
2012-01-06,6.68331664,40446349.0262
2012-01-07,6.7962279807,40616813.898
2012-01-08,7.0966505663,40830347.8591
2012-01-09,6.2885383425,40993085.0683
2012-01-10,6.5284745552,41046783.9956
2012-01-11,6.8891277212,41217014.923
2012-01-12,6.7735641958,41474387.9169
2012-01-13,6.4543688901,41563244.9548
2012-01-14,6.7617271426,41701238.8229
2012-01-15,7.0469225582,41802414.8307
2012-01-16,6.7156076666,41912281.2475
2012-01-17,5.5996219503,41850044.7499
2012-01-18,5.9002312881,41866144.4421
2012-01-19,6.3157063416,42045285.6319
2012-01-20,6.5014919883,42121451.4886
2012-01-21,6.1805683255,42170801.2667
2012-01-22,6.3029672268,42226810.0001
2012-01-23,6.3748760771,42307220.7448
2012-01-24,6.2744764757,42368789.8319
2012-01-25,5.8104650725,42367441.5015
2012-01-26,5.3672269544,42282665.5068
2012-01-27,5.303137197,42246286.6077
2012-01-28,5.659796775,42282782.9363
2012-01-29,5.3914294573,42278760.9153
2012-01-30,5.5034819386,42304230.4576
2012-01-31,5.5382202957,42297721.2764
2012-02-01,6.0752326523,42424577.554
2012-02-02,6.0995729129,42502078.0673
2012-02-03,5.9516109275,42551200.8391
2012-02-04,5.895413239,42592850.5894
2012-02-05,5.6781157171,42613620.9739
2012-02-06,5.4826640584,42572759.5955
2012-02-07,5.6620277002,42609241.6192
2012-02-08,5.6185281899,42636905.2271
2012-02-09,5.8356998542,42689439.4387
2012-02-10,5.9378341555,42715463.4812
2012-02-11,5.6121328533,42832623.3957
2012-02-12,5.5190971695,42863386.415
2012-02-13,5.3483545593,42526589.0548
2012-02-14,4.4836540918,42200118.1906
2012-02-15,4.325520322,42047410.7134
2012-02-16,4.255239045,41960667.4175
2012-02-17,4.3915383729,41949158.0384
2012-02-18,4.2700812776,41849116.6207
2012-02-19,4.3895514582,41846384.8164
2012-02-20,4.3651359389,41842588.496
2012-02-21,4.315115602,41821738.4967
2012-02-22,4.4193102876,41821460.4386
2012-02-23,5.0395151181,41944995.926
2012-02-24,5.0256087589,42005486.8456
2012-02-25,4.7725673811,42047171.6043
2012-02-26,4.9264208515,42082706.0419
2012-02-27,4.9525157563,42133245.9067
2012-02-28,4.8572577756,42182398.6731
2012-02-29,4.8727487557,41919498.1907
2012-03-01,4.9220721236,41969879.1474
2012-03-02,4.7148235871,41921504.6754
2012-03-03,4.6281932525,41928007.5509
2012-03-04,4.8341444816,41973582.4325
2012-03-05,4.9823929039,42029225.7384
2012-03-06,4.9878413524,42078086.2754
2012-03-07,4.9491128846,42126368.0905
2012-03-08,4.934979495,42153971.6681
2012-03-09,4.8722978475,42185735.5378
2012-03-10,4.8414238048,42189956.909
2012-03-11,4.8920287516,42205282.2864
2012-03-12,4.9108393793,42238131.9572
2012-03-13,5.2908802788,42338738.2825
2012-03-14,5.3905432922,42441240.9487
2012-03-15,5.3408208989,42510475.8402
2012-03-16,5.3395747914,42595824.9778
2012-03-17,5.2360035541,42608835.9839
2012-03-18,5.2701489854,42645511.1796
2012-03-19,4.6786725529,42582240.3008
2012-03-20,4.8308302162,42599054.2377
2012-03-21,4.8172295248,42545024.4222
2012-03-22,4.729608505,42530144.0023
2012-03-23,4.6916431765,42557904.486
2012-03-24,4.6519862659,42546850.254
2012-03-25,4.5522702624,42534869.3837
2012-03-26,4.6327223597,42545706.0526
2012-03-27,4.8113407352,42585698.1782
2012-03-28,4.7905893916,42622311.9475
2012-03-29,4.7940665722,42629827.4739
2012-03-30,4.8614093565,42045859.4614
2012-03-31,4.8897768732,42094998.9618
2012-04-01,4.7933256774,42118147.9481
2012-04-02,4.9830454787,42164963.9809
2012-04-03,4.9562331929,42067345.428
2012-04-04,4.9178421777,42101739.7765
2012-04-05,4.9208492449,42140835.7052
2012-04-06,4.9491074322,42197044.5785
2012-04-07,4.7097119103,42202190.5304
2012-04-08,4.7788188492,42233513.0432
2012-04-09,4.8525473811,42308208.9702
2012-04-10,4.8414175938,42333415.097
2012-04-11,4.9152507171,42386440.9936
2012-04-12,4.9011581473,42445232.2729
2012-04-13,4.9344067335,42490829.5716
2012-04-14,4.956364661,42538500.1632
2012-04-15,4.9616003384,42589563.6816
2012-04-16,4.9507645693,42646021.8508
2012-04-17,4.9687445076,42687743.4005
2012-04-18,5.124377443,42763726.0452
2012-04-19,5.1309065114,42833273.41
2012-04-20,5.3665159681,42960779.3864
2012-04-21,5.282550339,43004130.7606
2012-04-22,5.1956089947,43071216.1534
2012-04-23,5.1108881917,43050141.8163
2012-04-24,5.0878672624,43084591.4053
2012-04-25,5.1488162455,43336988.9163
2012-04-26,5.0974192858,43316169.3298
2012-04-27,5.0958873399,43349681.2994
2012-04-28,4.9707366528,43362767.0082
2012-04-29,4.9026061777,43305737.2484
2012-04-30,4.9421168101,43318146.19
2012-05-01,4.9871372274,43361127.8722
2012-05-02,5.0534373539,43404023.607
2012-05-03,5.118872979,43458008.3326
2012-05-04,5.0855070883,43498675.1818
2012-05-05,5.0566395646,43539887.0395
2012-05-06,5.0478007729,43474492.7086
2012-05-07,5.067555867,43516093.3597
2012-05-08,5.0234664229,43546456.1489
2012-05-09,5.0413062355,43593865.8737
2012-05-10,4.9274887198,43609286.9437
2012-05-11,4.9637099775,43623171.7668
2012-05-12,4.946532235,43770862.0114
2012-05-13,4.9447950538,43758300.6672
2012-05-14,5.011435922,43775824.8791
2012-05-15,5.0336404004,43806985.6209
2012-05-16,5.0877845091,43804011.692
2012-05-17,5.0896616864,43776417.2985
2012-05-18,5.1183014828,43738181.9371
2012-05-19,5.1125458112,43776137.4324
2012-05-20,5.0942009684,43639345.46
2012-05-21,5.0942213101,43547407.7611
2012-05-22,5.0891391888,43555000.3437
2012-05-23,5.1288588998,43602969.4564
2012-05-24,5.1191577592,43512748.4536
2012-05-25,5.1372768065,43549584.1957
2012-05-26,5.1039788048,43458720.9246
2012-05-27,5.134616135,43512200.1924
2012-05-28,5.1363254191,43547395.1346
2012-05-29,5.1484706978,43579945.7213
2012-05-30,5.1382645693,43609390.94
2012-05-31,5.1816397212,43441687.9424
2012-06-01,5.266943758,43512583.757
2012-06-02,5.2436390602,43562988.8164
2012-06-03,5.2127049848,43602143.7753
2012-06-04,5.2587658574,43654157.6301
2012-06-05,5.4260142949,43742091.3017
2012-06-06,5.446169422,43814962.846
2012-06-07,5.5871698098,43911273.9255
2012-06-08,5.6225291017,43999257.9397
2012-06-09,5.5570023355,44060808.6395
2012-06-10,5.4578935693,44105328.423
2012-06-11,5.5869969816,44200152.9002
2012-06-12,5.7274912987,44314699.0878
2012-06-13,5.9093013238,44432139.9737
2012-06-14,5.9620231821,44503308.9583
2012-06-15,6.5233807192,44782654.6961
2012-06-16,6.4441582823,44908444.2022
2012-06-17,6.199966488,44998524.8554
2012-06-18,6.3108446686,45088755.2841
2012-06-19,6.494826716,45190885.8776
2012-06-20,6.6935510555,45270561.7936
2012-06-21,6.6722625038,45371839.0303
2012-06-22,6.5637616978,45475632.0225
2012-06-23,6.4475416891,45555824.0051
2012-06-24,6.3504940386,45593002.6049
2012-06-25,6.31747363,45632939.0179
2012-06-26,6.4328608288,45747464.7505
2012-06-27,6.6157134015,45865421.8422
2012-06-28,6.590064633,45943016.807
2012-06-29,6.6587767572,46027871.2818
2012-06-30,6.680427623,46096270.389
2012-07-01,6.6268600923,46156256.4109
2012-07-02,6.7434780508,46267810.491
2012-07-03,6.4499924033,46288407.5947
2012-07-04,6.5148353331,46377568.1853
2012-07-05,6.6423986043,46459278.241
2012-07-06,6.6721811894,46547354.7934
2012-07-07,6.8082737119,46564103.5917
2012-07-08,6.7963176879,46666986.0821
2012-07-09,7.032395886,46807924.5082
2012-07-10,7.1785800357,46432057.7235
2012-07-11,7.185147789,46573326.8429
2012-07-12,7.5559356502,46753990.0442
2012-07-13,7.630921256,46967425.3197
2012-07-14,7.5801291783,46694241.7944
2012-07-15,7.6272348597,46788323.6348
2012-07-16,8.4934056774,47210947.9983
2012-07-17,8.7519848551,47854042.8086
2012-07-18,9.0951926861,48182980.9547
2012-07-19,8.8795334135,48446114.0655
2012-07-20,8.5324506791,48527364.2886
2012-07-21,8.875645841,48758167.8297
2012-07-22,8.5065625441,48841889.6188
2012-07-23,8.5312112694,48947418.5826
2012-07-24,8.5745851707,49084637.5278
2012-07-25,8.7693472729,49257677.5119
2012-07-26,8.8757650462,49509199.7406
2012-07-27,8.8914598942,49681307.6732
2012-07-28,8.8425608942,49827094.1123
2012-07-29,8.7476806593,49986820.1896
2012-07-30,9.088317249,50182216.8804
2012-07-31,9.3209984021,50478752.2823
2012-08-01,9.5680209039,50733200.8283
2012-08-02,10.5510396961,51375854.9816
2012-08-03,10.9158647466,51776866.6604
2012-08-04,10.9197148808,52099224.971
2012-08-05,10.8051173776,52375940.2088
2012-08-06,10.8694465018,52629101.0424
2012-08-07,10.9412794401,52821775.9593
2012-08-08,11.0703915967,53194690.2778
2012-08-09,11.103724744,53433510.6521
2012-08-10,11.4475688045,53699566.1349
2012-08-11,11.5425355272,53927060.9232
2012-08-12,11.5925523898,54116490.0323
2012-08-13,11.9849629904,54487631.6174
2012-08-14,12.187097481,54851049.5165
2012-08-15,13.1700773539,55376524.6415
2012-08-16,13.4507908247,55933185.8676
2012-08-17,12.0770055424,56276112.6634
2012-08-18,11.5775071648,57008401.1985
2012-08-19,7.8306218419,55778366.0084
2012-08-20,9.9798766487,56587244.5582
2012-08-21,9.9029820181,56676255.9255
2012-08-22,9.7725545786,56804955.8656
2012-08-23,10.0886574261,56978335.987
2012-08-24,10.5940425944,57291376.0328
2012-08-25,10.5836766715,57490707.645
2012-08-26,10.5455307423,57636611.4102
2012-08-27,10.9003800807,58314653.9023
2012-08-28,10.9329585336,58581535.8513
2012-08-29,10.8677839018,58713221.7891
2012-08-30,10.7277488384,58786184.8691
2012-08-31,10.1024098206,59291103.2355
2012-09-01,10.0065329375,59277172.591
2012-09-02,10.2261162016,59401255.9176
2012-09-03,10.4971343092,59550479.9074
2012-09-04,10.3640018942,59702586.1153
2012-09-05,11.0255228784,60043297.0936
2012-09-06,11.1607690158,60268586.1423
2012-09-07,11.0761223366,60393879.7263
2012-09-08,11.0432700333,60536243.0784
2012-09-09,11.0620954933,60747594.5299
2012-09-10,11.1252888048,61727949.8552
2012-09-11,11.2680929553,61897857.6466
2012-09-12,11.3152859082,62090654.0679
2012-09-13,11.3802992887,62241070.8045
2012-09-14,11.7301076224,62486153.4638
