d,price_usd,terminal_price
2012-01-08,7.0966505663,30.88
2012-01-09,6.2885383425,30.87
2012-01-10,6.5284745552,30.89
2012-01-11,6.8891277212,30.86
2012-01-12,6.7735641958,31.0
2012-01-13,6.4543688901,30.99
2012-01-14,6.7617271426,30.96
2012-01-15,7.0469225582,30.95
2012-01-16,6.7156076666,30.92
2012-01-17,5.5996219503,30.92
2012-01-18,5.9002312881,30.9
2012-01-19,6.3157063416,30.89
2012-01-20,6.5014919883,30.85
2012-01-21,6.1805683255,30.81
2012-01-22,6.3029672268,30.76
2012-01-23,6.3748760771,30.72
2012-01-24,6.2744764757,30.69
2012-01-25,5.8104650725,30.66
2012-01-26,5.3672269544,30.65
2012-01-27,5.303137197,30.62
2012-01-28,5.659796775,30.59
2012-01-29,5.3914294573,30.55
2012-01-30,5.5034819386,30.5
2012-01-31,5.5382202957,30.47
2012-02-01,6.0752326523,30.44
2012-02-02,6.0995729129,30.41
2012-02-03,5.9516109275,30.37
2012-02-04,5.895413239,30.34
2012-02-05,5.6781157171,30.3
2012-02-06,5.4826640584,30.26
2012-02-07,5.6620277002,30.23
2012-02-08,5.6185281899,30.19
2012-02-09,5.8356998542,30.14
2012-02-10,5.9378341555,30.12
2012-02-11,5.6121328533,30.28
2012-02-12,5.5190971695,30.24
2012-02-13,5.3483545593,30.37
2012-02-14,4.4836540918,30.56
2012-02-15,4.325520322,30.53
2012-02-16,4.255239045,30.5
2012-02-17,4.3915383729,30.45
2012-02-18,4.2700812776,30.42
2012-02-19,4.3895514582,30.36
2012-02-20,4.3651359389,30.32
2012-02-21,4.315115602,30.28
2012-02-22,4.4193102876,30.24
2012-02-23,5.0395151181,30.2
2012-02-24,5.0256087589,30.18
2012-02-25,4.7725673811,30.14
2012-02-26,4.9264208515,30.09
2012-02-27,4.9525157563,30.05
2012-02-28,4.8572577756,30.01
2012-02-29,4.8727487557,30.03
2012-03-01,4.9220721236,30.0
2012-03-02,4.7148235871,29.97
2012-03-03,4.6281932525,29.96
2012-03-04,4.8341444816,29.93
2012-03-05,4.9823929039,29.89
2012-03-06,4.9878413524,29.85
2012-03-07,4.9491128846,29.8
2012-03-08,4.934979495,29.77
2012-03-09,4.8722978475,29.73
2012-03-10,4.8414238048,29.69
2012-03-11,4.8920287516,29.66
2012-03-12,4.9108393793,29.62
2012-03-13,5.2908802788,29.58
2012-03-14,5.3905432922,29.57
2012-03-15,5.3408208989,29.53
2012-03-16,5.3395747914,29.54
2012-03-17,5.2360035541,29.5
2012-03-18,5.2701489854,29.5
2012-03-19,4.6786725529,29.46
2012-03-20,4.8308302162,29.43
2012-03-21,4.8172295248,29.41
2012-03-22,4.729608505,29.37
2012-03-23,4.6916431765,29.37
2012-03-24,4.6519862659,29.33
2012-03-25,4.5522702624,29.29
2012-03-26,4.6327223597,29.25
2012-03-27,4.8113407352,29.21
2012-03-28,4.7905893916,29.18
2012-03-29,4.7940665722,29.14
2012-03-30,4.8614093565,29.28
2012-03-31,4.8897768732,29.24
2012-04-01,4.7933256774,29.19
2012-04-02,4.9830454787,29.16
2012-04-03,4.9562331929,29.17
2012-04-04,4.9178421777,29.16
2012-04-05,4.9208492449,29.14
2012-04-06,4.9491074322,29.12
2012-04-07,4.7097119103,29.09
2012-04-08,4.7788188492,29.05
2012-04-09,4.8525473811,29.06
2012-04-10,4.8414175938,29.02
2012-04-11,4.9152507171,29.04
2012-04-12,4.9011581473,29.05
2012-04-13,4.9344067335,29.03
2012-04-14,4.956364661,29.0
2012-04-15,4.9616003384,28.98
2012-04-16,4.9507645693,28.97
2012-04-17,4.9687445076,28.94
2012-04-18,5.124377443,28.92
2012-04-19,5.1309065114,28.89
2012-04-20,5.3665159681,28.87
2012-04-21,5.282550339,28.84
2012-04-22,5.1956089947,28.82
2012-04-23,5.1108881917,28.79
2012-04-24,5.0878672624,28.77
2012-04-25,5.1488162455,28.98
2012-04-26,5.0974192858,28.96
2012-04-27,5.0958873399,28.92
2012-04-28,4.9707366528,28.88
2012-04-29,4.9026061777,28.84
2012-04-30,4.9421168101,28.83
2012-05-01,4.9871372274,28.8
2012-05-02,5.0534373539,28.77
2012-05-03,5.118872979,28.74
2012-05-04,5.0855070883,28.71
2012-05-05,5.0566395646,28.67
2012-05-06,5.0478007729,28.7
2012-05-07,5.067555867,28.66
2012-05-08,5.0234664229,28.63
2012-05-09,5.0413062355,28.61
2012-05-10,4.9274887198,28.59
2012-05-11,4.9637099775,28.57
2012-05-12,4.946532235,28.71
2012-05-13,4.9447950538,28.69
2012-05-14,5.011435922,28.72
2012-05-15,5.0336404004,28.71
2012-05-16,5.0877845091,28.7
2012-05-17,5.0896616864,28.72
2012-05-18,5.1183014828,28.7
2012-05-19,5.1125458112,28.69
2012-05-20,5.0942009684,28.69
2012-05-21,5.0942213101,28.68
2012-05-22,5.0891391888,28.69
2012-05-23,5.1288588998,28.67
2012-05-24,5.1191577592,28.66
2012-05-25,5.1372768065,28.63
2012-05-26,5.1039788048,28.61
2012-05-27,5.134616135,28.59
2012-05-28,5.1363254191,28.56
2012-05-29,5.1484706978,28.54
2012-05-30,5.1382645693,28.51
2012-05-31,5.1816397212,28.63
2012-06-01,5.266943758,28.61
2012-06-02,5.2436390602,28.57
2012-06-03,5.2127049848,28.54
2012-06-04,5.2587658574,28.55
2012-06-05,5.4260142949,28.53
2012-06-06,5.446169422,28.51
2012-06-07,5.5871698098,28.49
2012-06-08,5.6225291017,28.46
2012-06-09,5.5570023355,28.42
2012-06-10,5.4578935693,28.38
2012-06-11,5.5869969816,28.36
2012-06-12,5.7274912987,28.36
2012-06-13,5.9093013238,28.33
2012-06-14,5.9620231821,28.3
2012-06-15,6.5233807192,28.28
2012-06-16,6.4441582823,28.26
2012-06-17,6.199966488,28.24
2012-06-18,6.3108446686,28.22
2012-06-19,6.494826716,28.21
2012-06-20,6.6935510555,28.26
2012-06-21,6.6722625038,28.23
2012-06-22,6.5637616978,28.23
2012-06-23,6.4475416891,28.2
2012-06-24,6.3504940386,28.25
2012-06-25,6.31747363,28.23
2012-06-26,6.4328608288,28.22
2012-06-27,6.6157134015,28.2
2012-06-28,6.590064633,28.18
2012-06-29,6.6587767572,28.15
2012-06-30,6.680427623,28.13
2012-07-01,6.6268600923,28.1
2012-07-02,6.7434780508,28.08
2012-07-03,6.4499924033,28.06
2012-07-04,6.5148353331,28.06
2012-07-05,6.6423986043,28.03
2012-07-06,6.6721811894,28.02
2012-07-07,6.8082737119,28.04
2012-07-08,6.7963176879,28.04
2012-07-09,7.032395886,28.03
2012-07-10,7.1785800357,28.3
2012-07-11,7.185147789,28.32
2012-07-12,7.5559356502,28.29
2012-07-13,7.630921256,28.32
2012-07-14,7.5801291783,28.52
2012-07-15,7.6272348597,28.5
2012-07-16,8.4934056774,28.53
2012-07-17,8.7519848551,28.76
2012-07-18,9.0951926861,28.79
2012-07-19,8.8795334135,28.82
2012-07-20,8.5324506791,28.83
2012-07-21,8.875645841,28.84
2012-07-22,8.5065625441,28.82
2012-07-23,8.5312112694,28.83
2012-07-24,8.5745851707,28.81
2012-07-25,8.7693472729,28.81
2012-07-26,8.8757650462,28.82
2012-07-27,8.8914598942,28.81
2012-07-28,8.8425608942,28.8
2012-07-29,8.7476806593,28.81
2012-07-30,9.088317249,28.79
2012-07-31,9.3209984021,28.82
2012-08-01,9.5680209039,28.83
2012-08-02,10.5510396961,28.87
2012-08-03,10.9158647466,28.9
2012-08-04,10.9197148808,28.95
2012-08-05,10.8051173776,28.97
2012-08-06,10.8694465018,28.98
2012-08-07,10.9412794401,29.01
2012-08-08,11.0703915967,29.12
2012-08-09,11.103724744,29.12
2012-08-10,11.4475688045,29.13
2012-08-11,11.5425355272,29.11
