d,price_usd,address_10k
2012-12-11,13.6154156663,83.0
2012-12-12,13.6682136426,83.0
2012-12-13,13.7552515207,82.0
2012-12-14,13.6009222528,81.0
2012-12-15,13.5309482887,81.0
2012-12-16,13.3328610766,81.0
2012-12-17,13.3200719515,82.0
2012-12-18,13.2720338691,85.0
2012-12-19,13.53854318,86.0
2012-12-20,13.5700270263,86.0
2012-12-21,13.4289680023,86.0
2012-12-22,13.4272139129,87.0
2012-12-23,13.3181057569,87.0
2012-12-24,13.4266626715,86.0
2012-12-25,13.3655670047,85.0
2012-12-26,13.4546990175,85.0
2012-12-27,13.3993031812,85.0
2012-12-28,13.4555072215,85.0
2012-12-29,13.3740038603,86.0
2012-12-30,13.4450137989,87.0
2012-12-31,13.5455524436,88.0
2013-01-01,13.331371422,88.0
2013-01-02,13.280606813,89.0
2013-01-03,13.3840811485,89.0
2013-01-04,13.4517211496,89.0
2013-01-05,13.4594067668,89.0
2013-01-06,13.5044965079,89.0
2013-01-07,13.5560616578,88.0
2013-01-08,13.7803506312,88.0
2013-01-09,13.8209552566,87.0
2013-01-10,14.1231728556,87.0
2013-01-11,14.2276211227,88.0
2013-01-12,14.214285656,88.0
2013-01-13,14.1607882671,89.0
2013-01-14,14.3179703203,88.0
2013-01-15,14.3136377516,88.0
2013-01-16,14.7078140479,88.0
2013-01-17,15.5985997396,88.0
2013-01-18,15.7157911239,88.0
2013-01-19,15.5881263998,88.0
2013-01-20,15.7195921373,87.0
2013-01-21,16.7810195207,87.0
2013-01-22,17.3001788387,87.0
2013-01-23,17.5363954229,88.0
2013-01-24,16.9010860722,87.0
2013-01-25,17.4072020292,87.0
2013-01-26,17.5536291761,88.0
2013-01-27,17.8646280148,90.0
2013-01-28,18.7942648743,90.0
2013-01-29,19.5147141861,89.0
2013-01-30,19.7374466864,91.0
2013-01-31,20.5116430307,91.0
2013-02-01,20.4430919562,91.0
2013-02-02,19.6359017054,89.0
2013-02-03,20.5789396832,89.0
2013-02-04,20.4404879614,89.0
2013-02-05,20.6593447276,88.0
2013-02-06,21.2085655319,88.0
2013-02-07,22.1177651789,88.0
2013-02-08,22.7873650499,89.0
2013-02-09,23.7338601537,89.0
2013-02-10,23.9002893571,90.0
2013-02-11,24.4972726949,90.0
2013-02-12,24.9797364074,90.0
2013-02-13,24.6416509348,92.0
2013-02-14,27.2823898203,92.0
2013-02-15,27.1712692291,91.0
2013-02-16,27.346163562,91.0
2013-02-17,26.9272513764,90.0
2013-02-18,26.9288676371,90.0
2013-02-19,29.4136243808,90.0
2013-02-20,29.8198072276,91.0
2013-02-21,29.8180689158,91.0
2013-02-22,30.4726565324,92.0
2013-02-23,29.8064545459,92.0
2013-02-24,29.8828484924,92.0
2013-02-25,30.352033095,93.0
2013-02-26,31.1555373507,93.0
2013-02-27,31.240261083,93.0
2013-02-28,33.3752939366,94.0
2013-03-01,34.6062570341,96.0
2013-03-02,34.143515924,96.0
2013-03-03,34.4517404845,96.0
2013-03-04,36.3762652507,95.0
2013-03-05,40.6729539903,95.0
2013-03-06,43.2849961852,94.0
2013-03-07,41.9474407158,96.0
2013-03-08,43.902928915,96.0
2013-03-09,46.8885866123,96.0
2013-03-10,46.066038459,95.0
2013-03-11,48.2750745772,95.0
2013-03-12,44.4135452582,96.0
2013-03-13,47.0161908516,97.0
2013-03-14,46.9255625535,98.0
2013-03-15,46.9025172478,96.0
2013-03-16,47.1570156996,97.0
2013-03-17,47.3334997838,97.0
2013-03-18,51.3654363913,99.0
2013-03-19,59.4986011114,99.0
2013-03-20,63.6874854982,98.0
2013-03-21,70.9175250053,97.0
2013-03-22,69.8460845418,96.0
2013-03-23,64.3831163705,96.0
2013-03-24,71.6904242065,96.0
2013-03-25,74.3140892496,97.0
2013-03-26,78.614197432,97.0
2013-03-27,88.8520799138,99.0
2013-03-28,87.6731739608,98.0
2013-03-29,90.2956993583,98.0
2013-03-30,92.1899599883,97.0
2013-03-31,93.8992384231,97.0
2013-04-01,103.5803469112,94.0
2013-04-02,116.6799442412,95.0
2013-04-03,131.3848093782,96.0
2013-04-04,133.0071204757,96.0
2013-04-05,142.626065488,95.0
2013-04-06,143.0818229649,95.0
2013-04-07,162.8522145769,96.0
2013-04-08,186.351161848,97.0
2013-04-09,230.6829966952,98.0
2013-04-10,161.192889661,98.0
2013-04-11,82.901585038,97.0
2013-04-12,111.476373194,97.0
2013-04-13,97.6090718703,97.0
2013-04-14,88.8614913998,97.0
2013-04-15,80.874693166,98.0
2013-04-16,68.2831387271,98.0
2013-04-17,92.8640369135,97.0
2013-04-18,108.6283450923,97.0
2013-04-19,119.012283239,96.0
2013-04-20,128.208288893,96.0
2013-04-21,118.4832437563,96.0
2013-04-22,126.3142717598,96.0
2013-04-23,142.1272180532,96.0
2013-04-24,154.1332778045,98.0
2013-04-25,141.0086592785,97.0
2013-04-26,137.2096004196,97.0
2013-04-27,128.2266696052,100.0
2013-04-28,134.6235695617,100.0
2013-04-29,143.8103781926,98.0
2013-04-30,139.1296475453,96.0
2013-05-01,116.1138010403,95.0
2013-05-02,106.3409846973,95.0
2013-05-03,96.3168402741,95.0
2013-05-04,112.4976363691,95.0
2013-05-05,116.488715827,95.0
2013-05-06,112.1185961952,94.0
2013-05-07,111.6092128735,94.0
2013-05-08,113.1360618548,95.0
2013-05-09,111.9745327107,95.0
2013-05-10,117.6910368837,95.0
2013-05-11,115.4997776628,95.0
2013-05-12,114.8856755596,95.0
2013-05-13,117.4044566461,95.0
2013-05-14,107.8655665693,95.0
2013-05-15,108.9868524255,95.0
2013-05-16,112.9178740503,95.0
2013-05-17,117.284616014,95.0
2013-05-18,118.1698766803,95.0
2013-05-19,117.033880187,95.0
2013-05-20,117.8186364699,96.0
2013-05-21,117.2520409117,97.0
2013-05-22,118.9781735827,99.0
2013-05-23,123.7261560491,98.0
2013-05-24,128.9710806546,98.0
2013-05-25,128.8449152542,95.0
2013-05-26,130.1586011105,95.0
2013-05-27,126.392905903,96.0
2013-05-28,125.9045952659,96.0
2013-05-29,129.5648123904,96.0
2013-05-30,126.5130683811,96.0
2013-05-31,127.8164888954,97.0
2013-06-01,128.7911510812,97.0
2013-06-02,122.6267089421,96.0
2013-06-03,122.9491879018,95.0
2013-06-04,120.1899687317,95.0
2013-06-05,120.8699238457,97.0
2013-06-06,119.0539756698,98.0
2013-06-07,110.1977314436,98.0
2013-06-08,109.1785453413,98.0
2013-06-09,99.9036034483,98.0
2013-06-10,104.3575666277,98.0
2013-06-11,107.5075204559,98.0
2013-06-12,106.3781163063,98.0
2013-06-13,101.3238977206,98.0
2013-06-14,99.2132443016,98.0
2013-06-15,99.875037405,98.0
2013-06-16,99.0383512566,98.0
2013-06-17,100.1263050847,98.0
2013-06-18,104.2891763822,98.0
2013-06-19,104.417150789,99.0
2013-06-20,104.3234997078,99.0
2013-06-21,101.4168573933,99.0
2013-06-22,100.0395084746,99.0
2013-06-23,100.3147445938,99.0
2013-06-24,99.0456832262,99.0
2013-06-25,97.83278872,98.0
2013-06-26,98.6517007598,99.0
2013-06-27,96.8039495991,99.0
2013-06-28,89.4245067212,99.0
2013-06-29,88.7972910579,99.0
2013-06-30,89.4809076563,98.0
2013-07-01,82.8675701344,98.0
2013-07-02,87.8164666861,98.0
2013-07-03,77.6913308007,98.0
2013-07-04,79.1348708358,99.0
2013-07-05,67.4476238527,97.0
2013-07-06,66.3416808884,98.0
2013-07-07,72.1095223729,98.0
2013-07-08,73.9885537697,98.0
2013-07-09,74.8919108708,98.0
2013-07-10,85.013679135,97.0
2013-07-11,87.4975493863,97.0
2013-07-12,90.0466987142,97.0
2013-07-13,91.592597896,98.0
2013-07-14,89.8922692759,97.0
2013-07-15,93.7961525424,95.0
2013-07-16,91.7810356517,94.0
2013-07-17,91.0313512566,94.0
2013-07-18,84.9617291175,95.0
2013-07-19,86.2387945996,96.0
2013-07-20,84.9108591467,97.0
2013-07-21,85.6643502618,97.0
2013-07-22,85.6490286382,96.0
2013-07-23,86.977056692,95.0
2013-07-24,88.1517305669,96.0
2013-07-25,90.1660922268,96.0
2013-07-26,89.9839859731,95.0
2013-07-27,88.1652758621,95.0
2013-07-28,92.7458421975,95.0
2013-07-29,93.2986972531,94.0
2013-07-30,96.659552893,95.0
2013-07-31,98.0244199299,95.0
2013-08-01,96.5680178258,94.0
2013-08-02,96.0745306838,94.0
2013-08-03,95.5067095266,95.0
2013-08-04,96.3654821742,95.0
2013-08-05,97.5271338399,96.0
2013-08-06,97.6712066043,97.0
2013-08-07,97.0542068966,98.0
2013-08-08,94.2572717709,97.0
2013-08-09,92.4727767387,97.0
2013-08-10,93.293552893,96.0
2013-08-11,94.2713123904,97.0
2013-08-12,95.4464707773,94.0
2013-08-13,97.7590750847,95.0
2013-08-14,99.1212875511,95.0
2013-08-15,98.1063331385,95.0
2013-08-16,98.2909602572,94.0
2013-08-17,99.6305043834,94.0
2013-08-18,99.1780397428,94.0
2013-08-19,102.7840122735,94.0
2013-08-20,104.5002109877,94.0
2013-08-21,110.8016037405,94.0
2013-08-22,109.5232168323,93.0
2013-08-23,107.6975715956,93.0
2013-08-24,108.8826750438,93.0
2013-08-25,113.0825634132,93.0
2013-08-26,112.1181148451,93.0
2013-08-27,117.7597907656,93.0
2013-08-28,118.3174143776,93.0
2013-08-29,118.8356382233,94.0
2013-08-30,124.8853796026,93.0
2013-08-31,128.3779789597,94.0
2013-09-01,130.5363720047,94.0
2013-09-02,129.5653717124,94.0
2013-09-03,129.1828036236,94.0
2013-09-04,122.5292387493,94.0
2013-09-05,122.370085038,94.0
2013-09-06,117.8611464056,94.0
2013-09-07,119.8149894798,94.0
2013-09-08,118.0573863238,94.0
2013-09-09,121.2592726476,94.0
2013-09-10,122.2155301894,94.0
2013-09-11,127.0882270602,94.0
2013-09-12,126.7807235535,94.0
2013-09-13,127.4077451783,94.0
2013-09-14,124.3484774985,95.0
2013-09-15,125.0764178843,95.0
2013-09-16,126.2046659848,94.0
2013-09-17,126.8972501461,94.0
2013-09-18,126.9038194039,92.0
2013-09-19,124.1809573349,93.0
2013-09-20,122.9216358854,93.0
2013-09-21,123.5082568673,93.0
2013-09-22,123.1249351257,93.0
2013-09-23,122.8656990064,93.0
2013-09-24,123.7973576856,91.0
2013-09-25,123.614078609,91.0
2013-09-26,124.6856744594,90.0
2013-09-27,126.6053477499,90.0
2013-09-28,126.7965517241,90.0
2013-09-29,127.1086277031,90.0
2013-09-30,126.0902618352,91.0
2013-10-01,127.5754243133,90.0
2013-10-02,104.1050929281,91.0
2013-10-03,117.5754950321,91.0
2013-10-04,121.9303477499,91.0
2013-10-05,121.3934026885,91.0
2013-10-06,122.4752612507,91.0
2013-10-07,123.9068725891,92.0
2013-10-08,124.7665289305,92.0
2013-10-09,125.9335203127,93.0
2013-10-10,126.7046504968,93.0
2013-10-11,127.2552992402,93.0
2013-10-12,127.8512630041,93.0
2013-10-13,132.4156586791,93.0
2013-10-14,135.3391949153,92.0
2013-10-15,141.493908533,92.0
2013-10-16,138.327921917,91.0
2013-10-17,143.7471338399,91.0
2013-10-18,152.77557218,91.0
2013-10-19,165.7727171245,92.0
2013-10-20,166.5001510812,92.0
2013-10-21,179.9106285798,92.0
2013-10-22,190.4027814144,92.0
2013-10-23,204.6003509643,92.0
2013-10-24,194.4100437651,92.0
2013-10-25,185.643787626,90.0
2013-10-26,179.8082180012,90.0
2013-10-27,194.5461332554,91.0
2013-10-28,196.2746873174,91.0
2013-10-29,204.4281741672,90.0
2013-10-30,197.900599421,92.0
2013-10-31,203.2836499123,92.0
2013-11-01,203.0371098494,93.0
2013-11-02,204.7928813559,92.0
2013-11-03,210.2753826117,93.0
2013-11-04,228.7910388662,92.0
2013-11-05,243.6416689071,94.0
2013-11-06,263.2095839871,95.0
2013-11-07,290.1242261835,95.0
2013-11-08,333.750656512,95.0
2013-11-09,331.0511484512,95.0
2013-11-10,327.5586534997,95.0
2013-11-11,342.6976928697,95.0
2013-11-12,354.6454883109,94.0
2013-11-13,394.5044952244,95.0
2013-11-14,416.7063033027,95.0
