d,price_usd,binance,bybit,okx,bitget,deribit,bitmex,huobi,bitfinex,gate_io,kucoin,kraken,crypto_com,dydx,delta_exchange
2022-07-12,19339.1534734074,2886170251.4518,1317677849.9453,2018857513.5193,1046693893.0,779833034.3526,297328543.0238,221378609.6648,104954303.5526,,,41380457.6112,,78497945.4716,
2022-07-13,20155.5278386908,2854199065.8302,1366135428.8524,2002389916.9595,1002731934.0,773806270.2443,312127777.7076,215835910.0486,102469115.7407,,,41463000.097,,79371508.5205,
2022-07-14,20552.8990289304,2932718348.7441,1323756090.519,2030415175.6611,1111173134.0,761262278.5209,296299499.1507,218276125.993,106594587.1833,,,41856107.9381,,82545686.7792,
2022-07-15,20831.722700526,3061609391.2614,1398741356.1961,2066904192.9824,1220343874.0,755034272.0212,315098908.798,218161797.9015,107475085.725,,,41214418.612,,84865853.5032,
2022-07-16,21196.5091428989,3141821203.3992,1459035745.7951,1985750419.4475,1154232324.0,754813986.9327,317298463.5032,217056341.7686,107988593.3964,,,40538319.3921,,85528939.45,
2022-07-17,21184.32,3205755005.4842,1418114304.7761,2053175898.2156,1234472220.0,760338652.8725,312978587.345,227567881.1314,109735972.5419,,,40981575.658,,87526963.5876,
2022-07-19,23371.2026601403,3346217115.6558,1453039556.5635,2174393110.0808,1221281665.0,768517651.7256,303127226.1301,244284620.1684,115845152.823,,,102080995.004,,109706265.3505,
2022-07-20,23280.9356680304,3679340365.6964,1585116974.337,2196001473.3759,1335841783.0,790015059.4181,307656421.8478,240426415.6949,119954133.6847,,,105917864.8474,,126104435.2945,
2022-07-21,23152.4093112215,3478758959.0333,1488494063.6661,2171519071.5607,1451338474.0,782126168.1065,299916132.8788,234501241.2998,115958226.401,,,104487279.2568,,119521826.1766,
2022-07-22,22706.0835554646,3435606684.4262,1532237782.2462,2186545773.9778,1254410355.0,789730428.7914,307622443.601,231065270.3636,114509804.9902,,,103847175.8692,,127200997.118,
2022-07-23,22484.4592317358,3465461617.1498,1491335411.8886,2081454760.136,1261341591.0,778041088.893,310105376.7886,219788361.7291,112108976.2384,,,100268943.0177,,126831874.817,
