x,y
37440.0,55416.05207003
37696.0,57505.03045011
37952.0,58472.59628101
38208.0,39251.181521210005
38464.0,78704.90046433
38720.0,117172.52810024
38976.0,36946.5314377
39232.0,99248.78307947
39488.0,44578.43974667
39744.0,84180.18903887
40000.0,46749.78669131
40256.0,26224.922344500003
40512.0,42733.56055852
40768.0,33733.64655956
41024.0,20605.07514868
41280.0,52426.86598036
41536.0,107876.59571438
41792.0,85461.46705857001
42048.0,73300.66720096
42304.0,64946.87425409
42560.0,84724.52448936
42816.0,94170.63436259
43072.0,80790.19121488
43328.0,151588.05388495
43584.0,71005.37491531
43840.0,101967.14038771
44096.0,76287.09553191
44352.0,19238.71682424
44608.0,16053.40162656
44864.0,21521.62709287
45120.0,21980.767203080002
45376.0,20829.36025196
45632.0,9558.247815769999
45888.0,18633.551521499998
46144.0,25380.61274445
46400.0,28782.86609848
46656.0,44671.99470071
46912.0,39418.09265758
47168.0,47728.54585929
47424.0,55750.29450374
47680.0,22127.14847744
47936.0,53043.05505075
48192.0,56090.811127940004
48448.0,48668.950157130006
48704.0,24407.606695039998
48960.0,22466.14966843
49216.0,27847.551875650002
49472.0,18720.3997814
49728.0,24490.95126559
49984.0,30265.04969603
50240.0,46207.394434480004
50496.0,24346.121479409998
50752.0,22168.23498527
51008.0,27763.247173980002
51264.0,28681.77322588
51520.0,39905.673643500006
51776.0,66751.40952937001
52032.0,60440.27883257
52288.0,43523.439060289995
52544.0,9032.52292332
52800.0,5163.99238418
53056.0,2699.84041263
53312.0,3772.3644541
53568.0,14512.940649569999
53824.0,7762.70980322
54080.0,7719.76540207
54336.0,36279.68996444
54592.0,45517.9164204
54848.0,38442.40527388
55104.0,39261.98162803
55360.0,19565.27526964
55616.0,16711.617200419998
55872.0,31516.94573071
56128.0,27007.19386667
56384.0,43765.935192130004
56640.0,37574.76847761
56896.0,38084.09108624
57152.0,58059.05828717
57408.0,28790.70402061
57664.0,79745.13224609
57920.0,30415.23307881
58176.0,50336.28738301
