d,price_usd,address_100_1000
2012-08-03,10.9158647466,7553.0
2012-08-04,10.9197148808,7504.0
2012-08-05,10.8051173776,7498.0
2012-08-06,10.8694465018,7525.0
2012-08-07,10.9412794401,7544.0
2012-08-08,11.0703915967,7564.0
2012-08-09,11.103724744,7599.0
2012-08-10,11.4475688045,7581.0
2012-08-11,11.5425355272,7582.0
2012-08-12,11.5925523898,7599.0
2012-08-13,11.9849629904,7611.0
2012-08-14,12.187097481,7609.0
2012-08-15,13.1700773539,7653.0
2012-08-16,13.4507908247,7655.0
2012-08-17,12.0770055424,7736.0
2012-08-18,11.5775071648,7780.0
2012-08-19,7.8306218419,7798.0
2012-08-20,9.9798766487,7949.0
2012-08-21,9.9029820181,7961.0
2012-08-22,9.7725545786,8055.0
2012-08-23,10.0886574261,8104.0
2012-08-24,10.5940425944,8123.0
2012-08-25,10.5836766715,8150.0
2012-08-26,10.5455307423,8169.0
2012-08-27,10.9003800807,8236.0
2012-08-28,10.9329585336,8240.0
2012-08-29,10.8677839018,8291.0
2012-08-30,10.7277488384,8378.0
2012-08-31,10.1024098206,8379.0
2012-09-01,10.0065329375,8417.0
2012-09-02,10.2261162016,8448.0
2012-09-03,10.4971343092,8454.0
2012-09-04,10.3640018942,8526.0
2012-09-05,11.0255228784,8583.0
2012-09-06,11.1607690158,8651.0
2012-09-07,11.0761223366,8692.0
2012-09-08,11.0432700333,8677.0
2012-09-09,11.0620954933,8692.0
2012-09-10,11.1252888048,8703.0
2012-09-11,11.2680929553,8775.0
2012-09-12,11.3152859082,8802.0
2012-09-13,11.3802992887,8820.0
2012-09-14,11.7301076224,8865.0
2012-09-15,11.7183934155,8872.0
2012-09-16,11.8869112238,8907.0
2012-09-17,11.9083171572,9039.0
2012-09-18,12.2596508387,9181.0
2012-09-19,12.5048540982,9251.0
2012-09-20,12.3671766493,9205.0
2012-09-21,12.3336578358,9158.0
2012-09-22,12.2137276251,9193.0
2012-09-23,12.1654630263,9221.0
2012-09-24,12.1135887165,9135.0
2012-09-25,12.1824053945,9111.0
2012-09-26,12.3198168597,9086.0
2012-09-27,12.3187514018,9079.0
2012-09-28,12.3814573892,9152.0
2012-09-29,12.4047515056,9189.0
2012-09-30,12.3916224728,9262.0
2012-10-01,12.3893951601,9255.0
2012-10-02,12.8072380959,9315.0
2012-10-03,12.9554304944,9339.0
2012-10-04,12.8623857779,9291.0
2012-10-05,12.7522194191,9250.0
2012-10-06,12.5051297136,9189.0
2012-10-07,11.8739970853,9150.0
2012-10-08,11.7333297481,9112.0
2012-10-09,11.8286634354,9062.0
2012-10-10,12.1091884781,9031.0
2012-10-11,12.0675518083,9032.0
2012-10-12,12.0280681648,9033.0
2012-10-13,11.9268038293,8998.0
2012-10-14,11.6505779608,8934.0
2012-10-15,11.9083095269,8982.0
2012-10-16,11.848018069,8984.0
2012-10-17,11.9193881607,8989.0
2012-10-18,11.9259328445,9012.0
2012-10-19,11.7574857972,9045.0
2012-10-20,11.6943775517,9046.0
2012-10-21,11.6574114059,9069.0
2012-10-22,11.7410779129,9078.0
2012-10-23,11.70778173,9032.0
2012-10-24,11.6343523869,9053.0
2012-10-25,10.7536298203,9088.0
2012-10-26,10.1306194936,9044.0
2012-10-27,10.4581862957,9061.0
2012-10-28,10.7099620839,9031.0
2012-10-29,10.630738976,9035.0
2012-10-30,10.8593230584,8999.0
2012-10-31,11.1460718381,8953.0
2012-11-01,10.613535751,8914.0
2012-11-02,10.5305036388,8888.0
2012-11-03,10.6507470193,8851.0
2012-11-04,10.7968828925,8818.0
2012-11-05,10.7408207352,8777.0
2012-11-06,10.8681974991,8783.0
2012-11-07,10.9540989445,8854.0
2012-11-08,10.8926993711,8862.0
2012-11-09,10.815867218,8829.0
2012-11-10,10.863260443,8850.0
2012-11-11,10.8418406388,8851.0
2012-11-12,11.0313424553,8840.0
2012-11-13,10.9980027791,8845.0
2012-11-14,10.9589524185,8883.0
2012-11-15,11.1751098586,8901.0
2012-11-16,11.7050448299,8959.0
2012-11-17,11.7500423992,8950.0
2012-11-18,11.6656310321,9003.0
2012-11-19,11.7505293507,8988.0
2012-11-20,11.6991703168,9014.0
